"Image Name","PID","Session Name","Session#","Mem Usage"
"python.exe","26160","Console","1","N/A"
"docker-mcp.exe","22364","Console","1","3,368 K"
"cmd.exe","428","Console","1","N/A"
"cmd.exe","14044","Console","1","N/A"
"conhost.exe","26124","Console","1","N/A"
"cmd.exe","2708","Console","1","N/A"
"conhost.exe","25544","Console","1","N/A"
"cmd.exe","21548","Console","1","N/A"
"conhost.exe","25692","Console","1","N/A"
"cmd.exe","20736","Console","1","N/A"
"conhost.exe","11108","Console","1","N/A"
"cmd.exe","7880","Console","1","N/A"
"conhost.exe","20072","Console","1","N/A"
"cmd.exe","16824","Console","1","N/A"
"conhost.exe","24532","Console","1","N/A"
"cmd.exe","13532","Console","1","N/A"
"conhost.exe","18888","Console","1","N/A"
"conhost.exe","23608","Console","1","N/A"
"node.exe","17328","Console","1","N/A"
"node.exe","13724","Console","1","N/A"
"node.exe","23604","Console","1","N/A"
"node.exe","17596","Console","1","N/A"
"node.exe","24572","Console","1","N/A"
"node.exe","20580","Console","1","N/A"
"node.exe","20120","Console","1","N/A"
"node.exe","21708","Console","1","N/A"
"cmd.exe","6580","Console","1","N/A"
"node.exe","22232","Console","1","1,040 K"
"cmd.exe","23400","Console","1","N/A"
"cmd.exe","23632","Console","1","N/A"
"cmd.exe","26144","Console","1","N/A"
"cmd.exe","16956","Console","1","N/A"
"cmd.exe","9880","Console","1","N/A"
"cmd.exe","5076","Console","1","N/A"
"node.exe","25136","Console","1","1,032 K"
"cmd.exe","22264","Console","1","N/A"
"node.exe","5988","Console","1","1,028 K"
"node.exe","3840","Console","1","1,048 K"
"node.exe","24432","Console","1","N/A"
"node.exe","13976","Console","1","1,056 K"
"node.exe","23280","Console","1","1,108 K"
"node.exe","24680","Console","1","1,040 K"
"WmiPrvSE.exe","2664","Services","0","23,968 K"
"svchost.exe","23192","Services","0","9,752 K"
"svchost.exe","15224","Services","0","15,880 K"
"bash.exe","25356","Console","1","224 K"
"conhost.exe","24920","Console","1","776 K"
"bash.exe","19048","Console","1","4,264 K"
"RuntimeBroker.exe","18232","Console","1","10,624 K"
"backgroundTaskHost.exe","12508","Console","1","47,880 K"
"RuntimeBroker.exe","14692","Console","1","31,096 K"
"bash.exe","12428","Console","1","8,692 K"
"tasklist.exe","17932","Console","1","12,088 K"
