                               Installed Skills                                
┌───────────────────┬───────────────────┬────────┬───────┬────────────────────┐
│ fix-github-promp… │ development       │ local  │ local │ enabled            │
│ fix-github-promp… │ development       │ local  │ local │ enabled            │
│ fix-github-promp… │ development       │ local  │ local │ enabled            │
│ fix-glued-headin… │ development       │ local  │ local │ enabled            │
│ fix-glued-headin… │ development       │ local  │ local │ enabled            │
│ fix-glued-headin… │ development       │ local  │ local │ enabled            │
│ fix-line-endings  │ development       │ local  │ local │ enabled            │
│ fix-midline-coll… │ development       │ local  │ local │ enabled            │
│ fix-missing-clos… │ development       │ local  │ local │ enabled            │
│ fix-orphaned-bra… │ development       │ local  │ local │ enabled            │
│ fix-prompt-artif… │ development       │ local  │ local │ enabled            │
│ fix-prompt-front… │ development       │ local  │ local │ enabled            │
│ fix-prompt-libra… │ development       │ local  │ local │ enabled            │
│ fix-prompts       │ development       │ local  │ local │ enabled            │
│ fix-prompts-comp… │ development       │ local  │ local │ enabled            │
│ fix-repo-body     │ development       │ local  │ local │ enabled            │
│ fix-repo-body2    │ development       │ local  │ local │ enabled            │
│ fix-residual-glue │ development       │ local  │ local │ enabled            │
│ fix-skills        │ development       │ local  │ local │ enabled            │
│ fix-tail-generic  │ development       │ local  │ local │ enabled            │
│ fix-tail-glue     │ development       │ local  │ local │ enabled            │
│ fix-tail-glue2    │ development       │ local  │ local │ enabled            │
│ fix-tail-manual   │ development       │ local  │ local │ enabled            │
│ fix-yaml-frontma… │ development       │ local  │ local │ enabled            │
│ flowstudio-power… │ development       │ local  │ local │ enabled            │
│ flowstudio-power… │ development       │ local  │ local │ enabled            │
│ flowstudio-power… │ development       │ local  │ local │ enabled            │
│ flutterwave-tran… │ development       │ local  │ local │ enabled            │
│ foundry-agent-sy… │ development       │ local  │ local │ enabled            │
│ foundry-hosted-a… │ development       │ local  │ local │ enabled            │
│ full-health-check │ development       │ local  │ local │ enabled            │
│ gen-specs-as-iss… │ development       │ local  │ local │ enabled            │
│ generate-context… │ development       │ local  │ local │ enabled            │
│ generate-custom-… │ development       │ local  │ local │ enabled            │
│ generate-session… │ development       │ local  │ local │ enabled            │
│ generate-skills   │ development       │ local  │ local │ enabled            │
│ generate-vscode-… │ development       │ local  │ local │ enabled            │
│ generate-vscode-… │ development       │ local  │ local │ enabled            │
│ geofeed-tuner     │ development       │ local  │ local │ enabled            │
│ gh-hermes-script… │ development       │ local  │ local │ enabled            │
│ gh-hooks-plugins… │ development       │ local  │ local │ enabled            │
│ gh-path-audit     │ development       │ local  │ local │ enabled            │
│ gh-prompt-dedupe… │ development       │ local  │ local │ enabled            │
│ gh-prompt-frontm… │ development       │ local  │ local │ enabled            │
│ gh-prompt-frontm… │ development       │ local  │ local │ enabled            │
│ gh-prompt-migrat… │ development       │ local  │ local │ enabled            │
│ github-codespace… │ development       │ local  │ local │ enabled            │
│ github-copilot-s… │ development       │ local  │ local │ enabled            │
│ github-issues     │ development       │ local  │ local │ enabled            │
│ github-mcp        │ development       │ local  │ local │ enabled            │
│ github-release    │ development       │ local  │ local │ enabled            │
│ gitmoji           │ development       │ local  │ local │ enabled            │
│ go-mcp-server-ge… │ development       │ local  │ local │ enabled            │
│ gtm-ai-gtm        │ development       │ local  │ local │ enabled            │
│ gtm-product-led-… │ development       │ local  │ local │ enabled            │
│ harness-engineer… │ development       │ local  │ local │ enabled            │
│ health-check      │ development       │ local  │ local │ enabled            │
│ hello             │ development       │ local  │ local │ enabled            │
│ hello-world       │ development       │ local  │ local │ enabled            │
│ hermes-deep-dive… │ development       │ local  │ local │ enabled            │
