skill_name	path	score	rating	dim1	dim2	dim3	dim4	dim5	lines
teams-meeting-pipeline	productivity\teams-meeting-pipeline\SKILL.md	73	WARN	20	16	12	20	5	158
user-communication-preferences	productivity\user-communication-preferences\SKILL.md	88	PASS	20	16	16	18	18	154
xlsx	productivity\xlsx\SKILL.md	75	WARN	20	20	4	18	13	106
yuanbao	productivity\yuanbao\SKILL.md	69	WARN	20	16	8	20	5	156
pytorch-fsdp	pytorch-fsdp\SKILL.md	79	WARN	18	12	16	15	18	159
pytorch-lightning	pytorch-lightning\SKILL.md	72	WARN	18	12	12	12	18	384
adversarial-ux-test	qa\adversarial-ux-test\SKILL.md	65	WARN	20	12	8	20	5	219
audit-skills-judge-fix	qa\audit-skills-judge-fix\SKILL.md	64	WARN	20	12	12	15	5	148
boilerplate-stripper	qa\boilerplate-stripper\SKILL.md	77	WARN	20	16	8	15	18	154
dogfood	qa\dogfood\SKILL.md	82	PASS	20	16	8	20	18	183
playwright-automation-fill-in-form	qa\playwright-automation-fill-in-form\SKILL.md	73	WARN	20	16	12	20	5	87
playwright-generate-e2e-test	qa\playwright-generate-e2e-test\SKILL.md	73	WARN	20	16	12	20	5	87
playwright-generate-test	qa\playwright-generate-test\SKILL.md	73	WARN	20	16	12	20	5	87
polyglot-test-agent	qa\polyglot-test-agent\SKILL.md	67	WARN	20	12	12	18	5	198
postgresql-code-review	qa\postgresql-code-review\SKILL.md	73	WARN	20	16	12	20	5	87
scoutqa-test	qa\scoutqa-test\SKILL.md	73	WARN	20	16	12	20	5	87
skill-judge	qa\skill-judge\SKILL.md	89	PASS	20	20	16	15	18	242
test-skill	qa\test-skill\SKILL.md	81	PASS	20	20	8	20	13	172
verification-before-completion	qa\verification-before-completion\SKILL.md	80	PASS	20	20	4	18	18	166
web-design-reviewer	qa\web-design-reviewer\SKILL.md	83	PASS	20	16	12	17	18	401
webapp-testing	qa\webapp-testing\SKILL.md	85	PASS	20	20	12	20	13	138
qdrant-vector-search	qdrant\SKILL.md	72	WARN	18	12	12	12	18	527
qmd	qmd\SKILL.md	66	WARN	20	12	12	17	5	463
godmode	red-teaming\godmode\SKILL.md	85	PASS	20	16	12	17	20	418
api-tutorial-catalog	reference\api-tutorial-catalog\SKILL.md	68	WARN	20	16	4	15	13	75
mcp-server-catalog	reference\mcp-server-catalog\SKILL.md	72	WARN	20	16	8	15	13	101
project-architecture-index	reference\project-architecture-index\SKILL.md	68	WARN	20	16	4	15	13	71
arxiv	research\arxiv\SKILL.md	79	WARN	20	16	8	17	18	310
blogwatcher	research\blogwatcher\SKILL.md	69	WARN	20	12	12	20	5	165
llm-wiki	research\llm-wiki\SKILL.md	62	WARN	20	12	8	17	5	529
polymarket	research\polymarket\SKILL.md	80	PASS	20	16	8	18	18	102
repo-research-pipeline	research\repo-research-pipeline\SKILL.md	69	WARN	20	16	8	20	5	213
research-paper-writing	research\research-paper-writing\SKILL.md	83	PASS	20	16	12	17	18	2394
scrapling	research\scrapling\SKILL.md	62	WARN	20	12	8	17	5	348
web-research-pipeline	research\web-research-pipeline\SKILL.md	65	WARN	20	12	16	12	5	280
searxng-search	searxng-search\SKILL.md	70	WARN	18	12	12	15	13	236
sherlock	sherlock\SKILL.md	69	WARN	20	12	12	20	5	206
shop-app	shop-app\SKILL.md	66	WARN	20	12	12	17	5	356
shopify	shopify\SKILL.md	66	WARN	20	12	12	17	5	375
siyuan	siyuan\SKILL.md	66	WARN	20	12	12	17	5	303
openhue	smart-home\openhue\SKILL.md	69	WARN	20	12	12	20	5	129
xurl	social-media\xurl\SKILL.md	70	WARN	20	12	16	17	5	450
banking	software-development\banking\SKILL.md	73	WARN	20	16	12	20	5	124
bash-scripts-audit-remediation	software-development\bash-scripts-audit-remediation\SKILL.md	82	PASS	20	16	16	12	18	285
caveman-unified	software-development\caveman-unified\SKILL.md	64	WARN	20	16	8	15	5	208
claude-api	software-development\claude-api\SKILL.md	73	WARN	20	16	12	20	5	102
clonedeps	software-development\clonedeps\SKILL.md	69	WARN	20	16	8	20	5	181
code-docs	software-development\code-docs\SKILL.md	85	PASS	20	20	12	20	13	207
codemap	software-development\codemap\SKILL.md	85	PASS	20	20	12	20	13	186
context7	software-development\context7\SKILL.md	67	WARN	20	16	8	18	5	143
debugging-hermes-tui-commands	software-development\debugging-hermes-tui-commands\SKILL.md	69	WARN	20	12	12	20	5	170
executing-plans	software-development\executing-plans\SKILL.md	89	PASS	20	16	20	15	18	416
fluentui-blazor	software-development\fluentui-blazor\SKILL.md	81	PASS	20	16	12	15	18	257
hermes-agent-skill-authoring	software-development\hermes-agent-skill-authoring\SKILL.md	73	WARN	20	12	8	15	18	161
hermes-s6-container-supervision	software-development\hermes-s6-container-supervision\SKILL.md	69	WARN	20	12	12	20	5	202
httpie	software-development\httpie\SKILL.md	69	WARN	20	16	8	20	5	195
mindstudio-wrapper	software-development\mindstudio-wrapper\SKILL.md	69	WARN	20	12	12	12	13	280
